gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,bachelor's degree,free/reduced,none,44,63.0,62
female,group C,some college,standard,none,54,64.0,65
female,group A,some high school,standard,none,48,66.0,65
male,group C,some college,free/reduced,none,58,57.0,54
male,group A,some high school,standard,none,71,62.0,50
male,group E,bachelor's degree,standard,none,68,,64
female,group E,high school,standard,none,74,76.0,73
female,group C,bachelor's degree,standard,completed,92,100.0,99
female,group C,bachelor's degree,standard,completed,56,79.0,72
male,group B,high school,free/reduced,none,30,24.0,15
male,group A,some high school,standard,none,53,54.0,48
female,group D,high school,standard,none,69,77.0,73
female,group D,some high school,standard,none,65,,81
female,group D,master's degree,standard,none,54,60.0,63
female,group C,high school,standard,none,29,29.0,30
female,group E,some college,standard,none,76,78.0,80
male,group D,high school,free/reduced,none,60,57.0,51
male,group D,master's degree,free/reduced,completed,84,89.0,90
male,group C,some high school,standard,none,75,72.0,62
female,group C,associate's degree,standard,none,85,84.0,82
female,group C,master's degree,free/reduced,none,40,58.0,54
female,group E,some college,standard,none,61,,62
female,group B,associate's degree,standard,none,58,63.0,65
male,group D,some college,free/reduced,completed,69,,63
female,group C,some college,standard,none,58,59.0,66
male,group C,bachelor's degree,standard,completed,94,90.0,91
female,group C,associate's degree,standard,none,65,77.0,74
female,group A,associate's degree,standard,none,82,,93
female,group C,high school,standard,none,60,68.0,72
female,group E,bachelor's degree,standard,none,37,45.0,38
male,group D,bachelor's degree,standard,none,88,78.0,83
male,group D,master's degree,standard,none,95,81.0,84
male,group C,associate's degree,free/reduced,completed,65,73.0,68
female,group C,high school,free/reduced,none,35,61.0,54
male,group B,bachelor's degree,free/reduced,none,62,63.0,56
male,group C,high school,free/reduced,completed,58,51.0,52
male,group A,some college,standard,completed,100,96.0,86
female,group E,bachelor's degree,free/reduced,none,61,58.0,62
male,group D,some college,standard,completed,100,,99
male,group B,associate's degree,free/reduced,completed,69,70.0,63
male,group D,associate's degree,standard,none,61,48.0,46
male,group D,some college,free/reduced,none,49,57.0,46
female,group C,some high school,standard,completed,44,51.0,55
male,group D,some college,standard,none,67,64.0,70
male,group B,high school,standard,none,79,60.0,65
female,group B,bachelor's degree,standard,completed,66,74.0,81
female,group C,high school,standard,none,75,88.0,85
male,group D,some high school,standard,none,84,84.0,80
male,group A,high school,standard,none,71,,64
female,group B,high school,free/reduced,completed,67,80.0,81
female,group D,some high school,standard,completed,80,92.0,88
male,group E,some college,standard,none,86,76.0,74
female,group D,associate's degree,standard,none,76,,73
male,group D,high school,standard,none,41,,51
female,group D,associate's degree,free/reduced,completed,74,88.0,90
female,group B,some high school,free/reduced,none,72,81.0,79
female,group E,high school,standard,completed,74,79.0,80
male,group B,high school,standard,none,70,65.0,60
female,group B,bachelor's degree,standard,completed,65,81.0,81
female,group D,associate's degree,standard,none,59,,65
female,group E,high school,free/reduced,none,64,62.0,68
female,group B,high school,standard,none,50,53.0,55
female,group D,some college,standard,completed,69,79.0,81
male,group C,some high school,free/reduced,completed,51,56.0,53
female,group A,high school,standard,completed,68,80.0,76
female,group D,some college,standard,completed,85,86.0,98
female,group A,associate's degree,standard,completed,65,70.0,74
female,group B,some high school,standard,none,73,79.0,79
female,group B,some college,standard,none,62,67.0,67
male,group C,associate's degree,free/reduced,none,77,67.0,64
male,group D,some high school,standard,none,69,66.0,61
female,group D,associate's degree,free/reduced,none,43,60.0,58
male,group D,associate's degree,standard,none,90,87.0,85
male,group C,some college,free/reduced,none,74,77.0,73
male,group C,some high school,standard,none,73,66.0,63
female,group D,some college,free/reduced,none,55,71.0,69
female,group C,high school,standard,none,65,69.0,67
male,group D,associate's degree,standard,none,80,63.0,63
female,group C,some high school,free/reduced,completed,50,60.0,60
female,group C,some college,free/reduced,completed,63,73.0,71
female,group B,bachelor's degree,free/reduced,none,77,85.0,87
male,group C,some college,standard,none,73,74.0,61
male,group D,associate's degree,standard,completed,81,72.0,77
female,group C,high school,free/reduced,none,66,76.0,68
male,group D,associate's degree,free/reduced,none,52,57.0,50
female,group C,some college,standard,none,69,,76
female,group C,associate's degree,standard,completed,65,84.0,84
female,group D,high school,standard,completed,69,77.0,78
female,group B,some college,standard,completed,50,64.0,66
female,group E,some college,standard,completed,73,,76
female,group C,some high school,standard,completed,70,82.0,76
male,group D,associate's degree,free/reduced,none,81,75.0,78
male,group D,some college,free/reduced,none,63,61.0,60
female,group D,high school,standard,none,67,72.0,74
male,group B,high school,standard,none,60,68.0,60
male,group B,high school,standard,none,62,55.0,54
female,group C,some high school,free/reduced,completed,29,40.0,44
male,group B,some college,standard,completed,62,66.0,68
female,group E,master's degree,standard,completed,94,99.0,100
male,group E,some college,standard,completed,85,75.0,68
male,group D,associate's degree,free/reduced,none,77,78.0,73
male,group A,high school,free/reduced,none,53,58.0,44
male,group E,some college,free/reduced,none,93,90.0,83
female,group C,associate's degree,standard,none,49,53.0,53
female,group E,associate's degree,free/reduced,none,73,76.0,78
female,group C,bachelor's degree,free/reduced,completed,66,74.0,81
female,group D,associate's degree,standard,none,77,77.0,73
female,group C,some high school,standard,none,49,63.0,56
female,group D,some college,free/reduced,none,79,89.0,86
female,group C,associate's degree,standard,completed,75,82.0,90
female,group A,bachelor's degree,standard,none,59,72.0,70
female,group D,associate's degree,standard,completed,57,78.0,79
male,group C,high school,free/reduced,none,66,66.0,59
female,group E,bachelor's degree,standard,completed,79,,82
female,group B,some high school,standard,none,57,67.0,72
male,group A,bachelor's degree,standard,completed,87,84.0,87
female,group D,some college,standard,none,63,64.0,67
female,group B,some high school,free/reduced,completed,59,63.0,64
male,group A,bachelor's degree,free/reduced,none,62,72.0,65
male,group D,high school,standard,none,46,34.0,36
male,group C,some college,standard,none,66,59.0,52
male,group D,high school,standard,none,89,87.0,79
female,group D,associate's degree,free/reduced,completed,42,61.0,58
male,group C,some college,standard,completed,93,84.0,90
female,group E,some high school,standard,completed,80,85.0,85
female,group D,some college,standard,none,98,100.0,99
male,group D,master's degree,standard,none,81,81.0,84
female,group B,some high school,standard,completed,60,70.0,74
female,group B,associate's degree,free/reduced,completed,76,,87
male,group C,associate's degree,standard,completed,73,78.0,72
female,group C,associate's degree,standard,completed,96,96.0,99
female,group C,high school,standard,none,76,76.0,74
male,group E,associate's degree,free/reduced,completed,91,73.0,80
female,group C,some college,free/reduced,none,62,72.0,70
male,group D,some high school,free/reduced,completed,55,59.0,59
female,group B,some high school,free/reduced,completed,74,90.0,88
male,group C,high school,standard,none,50,48.0,42
male,group B,some college,standard,none,47,43.0,41
male,group E,some college,standard,completed,81,74.0,71
female,group E,associate's degree,standard,completed,65,75.0,77
male,group E,some high school,standard,completed,68,51.0,57
female,group D,high school,free/reduced,none,73,92.0,84
male,group C,some college,standard,none,53,39.0,37
female,group B,associate's degree,free/reduced,completed,68,,80
male,group A,some high school,free/reduced,none,55,46.0,43
female,group C,some college,standard,completed,87,89.0,94
male,group D,some high school,standard,none,55,47.0,44
female,group E,some college,free/reduced,none,53,58.0,57
male,group C,master's degree,standard,none,67,57.0,59
male,group C,associate's degree,standard,none,92,79.0,84
female,group B,some college,free/reduced,completed,53,66.0,73
male,group D,associate's degree,standard,none,81,,73
male,group C,high school,free/reduced,none,61,,55
male,group D,bachelor's degree,standard,none,80,,72
female,group A,associate's degree,free/reduced,none,37,57.0,56
female,group C,high school,standard,none,81,84.0,82
female,group C,associate's degree,standard,completed,59,73.0,72
male,group B,some college,free/reduced,none,55,55.0,47
male,group D,associate's degree,standard,none,72,79.0,74
male,group D,high school,standard,none,69,75.0,71
male,group C,some college,standard,none,69,64.0,68
female,group C,bachelor's degree,free/reduced,none,50,60.0,59
male,group B,some college,standard,completed,87,84.0,86
male,group D,some high school,standard,completed,71,,68
male,group E,some college,standard,none,68,72.0,65
male,group C,master's degree,free/reduced,completed,79,77.0,75
female,group C,some high school,standard,completed,77,90.0,85
male,group C,associate's degree,free/reduced,none,58,55.0,53
female,group E,associate's degree,standard,none,84,95.0,92
male,group D,some college,standard,none,55,58.0,52
male,group E,bachelor's degree,free/reduced,completed,70,,72
female,group D,some college,free/reduced,completed,52,59.0,65
male,group B,some college,standard,completed,69,77.0,77
female,group C,high school,free/reduced,none,53,72.0,64
female,group D,some high school,standard,none,48,58.0,54
male,group D,some high school,standard,completed,78,81.0,86
female,group B,high school,standard,none,62,62.0,63
male,group D,some college,standard,none,60,63.0,59
female,group B,high school,standard,none,74,72.0,72
female,group C,high school,standard,completed,58,75.0,77
male,group B,high school,standard,completed,76,62.0,60
female,group D,some high school,standard,none,68,71.0,75
male,group A,some college,free/reduced,none,58,60.0,57
male,group B,high school,standard,none,52,48.0,49
male,group D,bachelor's degree,standard,none,75,73.0,74
female,group B,some high school,free/reduced,completed,52,67.0,72
female,group C,bachelor's degree,free/reduced,none,62,,79
male,group B,some college,standard,none,66,65.0,60
female,group B,some high school,free/reduced,none,49,58.0,55
female,group B,high school,standard,none,66,72.0,70
female,group C,some college,free/reduced,none,35,44.0,43
female,group A,some college,standard,completed,72,79.0,82
male,group E,associate's degree,standard,completed,94,85.0,82
female,group D,associate's degree,free/reduced,none,46,56.0,57
female,group B,master's degree,standard,none,77,90.0,84
female,group B,high school,free/reduced,completed,76,85.0,82
female,group C,associate's degree,standard,completed,52,59.0,62
male,group C,bachelor's degree,standard,completed,91,,79
female,group B,some high school,standard,completed,32,51.0,44
female,group E,some high school,free/reduced,none,72,79.0,77
female,group B,some college,standard,none,19,38.0,32
male,group C,associate's degree,free/reduced,none,68,65.0,61
female,group C,master's degree,free/reduced,none,52,65.0,61
female,group B,high school,standard,none,48,62.0,60
female,group D,some college,free/reduced,none,60,66.0,70
male,group D,high school,free/reduced,none,66,74.0,69
male,group E,some high school,standard,completed,89,84.0,77
female,group B,high school,standard,none,42,52.0,51
female,group E,associate's degree,free/reduced,completed,57,68.0,73
male,group D,high school,standard,none,70,70.0,70
female,group E,associate's degree,free/reduced,none,70,84.0,81
male,group E,some college,standard,none,69,60.0,54
female,group C,associate's degree,standard,none,52,55.0,57
male,group C,some high school,standard,completed,67,73.0,68
male,group C,some high school,standard,completed,76,80.0,73
female,group E,associate's degree,standard,none,87,94.0,95
female,group B,some college,standard,none,82,85.0,87
female,group C,some college,standard,none,73,,78
male,group A,some college,free/reduced,none,75,,74
female,group D,some college,free/reduced,none,64,74.0,75
female,group E,high school,free/reduced,none,41,45.0,40
male,group C,high school,standard,none,90,,69
male,group B,bachelor's degree,standard,none,59,54.0,51
male,group A,some high school,standard,none,51,31.0,36
male,group A,high school,free/reduced,none,45,,49
female,group C,master's degree,standard,completed,54,64.0,67
male,group E,some high school,standard,completed,87,84.0,76
female,group C,high school,standard,none,72,80.0,83
male,group B,some high school,standard,completed,94,86.0,87
female,group A,bachelor's degree,standard,none,45,59.0,64
male,group D,bachelor's degree,free/reduced,completed,61,,76
female,group B,high school,free/reduced,none,60,72.0,68
female,group C,some high school,standard,none,77,91.0,88
female,group A,some high school,standard,completed,85,90.0,92
female,group D,bachelor's degree,free/reduced,none,78,90.0,93
male,group E,some college,free/reduced,completed,49,52.0,51
female,group B,high school,free/reduced,none,71,87.0,82
female,group C,some high school,free/reduced,none,48,58.0,52
male,group C,high school,standard,none,62,67.0,58
female,group C,associate's degree,free/reduced,completed,56,68.0,70
female,group C,some high school,standard,none,65,69.0,76
female,group D,some high school,free/reduced,completed,69,86.0,81
male,group B,some high school,standard,none,68,54.0,53
female,group A,some college,free/reduced,none,61,60.0,57
female,group C,bachelor's degree,free/reduced,completed,74,86.0,89
male,group A,bachelor's degree,standard,none,64,60.0,58
female,group B,high school,standard,completed,77,82.0,89
male,group B,some college,standard,none,58,50.0,45
female,group C,high school,standard,completed,60,64.0,74
male,group E,high school,standard,none,73,64.0,57
female,group A,high school,standard,completed,75,82.0,79
male,group B,associate's degree,free/reduced,completed,58,57.0,53
female,group C,associate's degree,standard,none,66,77.0,73
female,group D,high school,free/reduced,none,39,52.0,46
male,group C,some high school,standard,none,64,58.0,51
female,group B,high school,free/reduced,completed,23,44.0,36
male,group B,some college,free/reduced,completed,74,77.0,76
female,group D,some high school,free/reduced,completed,40,65.0,64
male,group E,master's degree,standard,none,90,,84
male,group C,master's degree,standard,completed,91,85.0,85
male,group D,high school,standard,none,64,54.0,50
female,group C,high school,standard,none,59,72.0,68
male,group D,associate's degree,standard,none,80,75.0,69
male,group C,master's degree,standard,none,71,67.0,67
female,group A,high school,standard,none,61,68.0,63
female,group E,some college,standard,none,87,85.0,93
male,group E,some high school,standard,none,82,67.0,61
male,group C,some high school,standard,none,62,64.0,55
female,group B,bachelor's degree,standard,none,97,97.0,96
male,group B,some college,free/reduced,none,75,68.0,65
female,group C,bachelor's degree,standard,none,65,,81
male,group B,high school,standard,completed,52,49.0,46
male,group C,associate's degree,free/reduced,none,87,73.0,72
female,group C,associate's degree,standard,none,53,62.0,53
female,group E,master's degree,free/reduced,none,81,86.0,87
male,group D,bachelor's degree,free/reduced,completed,39,,38
female,group C,some college,standard,completed,71,71.0,80
male,group C,associate's degree,standard,none,97,93.0,91
male,group D,some college,standard,completed,82,82.0,88
male,group C,high school,free/reduced,none,59,53.0,52
male,group B,associate's degree,standard,none,61,42.0,41
male,group E,associate's degree,free/reduced,completed,78,74.0,72
male,group C,associate's degree,free/reduced,none,49,51.0,51
male,group B,high school,standard,none,59,58.0,47
female,group C,some college,standard,completed,70,72.0,76
male,group B,associate's degree,standard,completed,82,84.0,78
male,group E,associate's degree,free/reduced,none,90,90.0,82
female,group C,bachelor's degree,free/reduced,none,43,62.0,61
male,group C,some college,free/reduced,none,80,64.0,66
male,group D,some college,standard,none,81,82.0,84
male,group C,some high school,standard,none,57,61.0,54
female,group D,some high school,standard,none,59,72.0,80
female,group D,associate's degree,standard,none,64,76.0,74
male,group C,bachelor's degree,standard,completed,63,64.0,66
female,group E,bachelor's degree,standard,completed,71,70.0,70
female,group B,high school,free/reduced,none,64,73.0,71
male,group D,bachelor's degree,free/reduced,none,55,46.0,44
female,group E,associate's degree,standard,none,51,51.0,54
female,group C,associate's degree,standard,completed,62,76.0,80
female,group E,associate's degree,standard,completed,93,100.0,95
male,group C,high school,free/reduced,none,54,72.0,59
female,group D,some college,free/reduced,none,69,65.0,74
male,group D,high school,free/reduced,none,44,51.0,48
female,group E,some college,standard,completed,86,,91
female,group E,associate's degree,standard,none,85,92.0,85
female,group A,master's degree,free/reduced,none,50,67.0,73
male,group D,some high school,standard,completed,88,,75
female,group E,associate's degree,standard,none,59,62.0,69
female,group E,some high school,free/reduced,none,32,34.0,38
male,group B,high school,free/reduced,none,36,29.0,27
female,group B,some high school,free/reduced,completed,63,78.0,79
male,group D,associate's degree,standard,completed,67,54.0,63
female,group D,some high school,standard,completed,65,78.0,82
male,group D,master's degree,standard,none,85,84.0,89
female,group C,master's degree,standard,none,73,78.0,74
female,group A,high school,free/reduced,completed,34,48.0,41
female,group D,bachelor's degree,free/reduced,completed,93,100.0,100
female,group D,some high school,free/reduced,none,67,84.0,84
male,group D,some college,standard,none,88,77.0,77
male,group B,high school,standard,none,57,48.0,51
female,group D,some college,standard,completed,79,84.0,91
female,group C,bachelor's degree,free/reduced,none,67,75.0,72
male,group E,bachelor's degree,standard,completed,70,64.0,70
male,group D,bachelor's degree,free/reduced,none,50,42.0,48
female,group A,some college,standard,none,69,84.0,82
female,group C,bachelor's degree,standard,completed,52,61.0,66
female,group C,bachelor's degree,free/reduced,completed,47,62.0,66
female,group B,associate's degree,free/reduced,none,46,61.0,55
female,group E,some college,standard,none,68,70.0,66
male,group E,bachelor's degree,standard,completed,100,100.0,100
female,group C,high school,standard,none,44,61.0,52
female,group C,associate's degree,standard,completed,57,77.0,80
male,group B,some college,standard,completed,91,,91
male,group D,high school,free/reduced,none,69,70.0,67
female,group C,high school,free/reduced,none,35,53.0,46
male,group D,high school,standard,none,72,66.0,66
female,group B,associate's degree,free/reduced,none,54,65.0,65
male,group D,high school,free/reduced,none,74,70.0,69
male,group E,some high school,standard,completed,74,64.0,60
male,group E,associate's degree,free/reduced,none,64,56.0,52
female,group D,high school,free/reduced,completed,65,61.0,71
male,group E,associate's degree,free/reduced,completed,46,43.0,44
female,group C,some high school,free/reduced,none,48,56.0,51
male,group C,some college,free/reduced,completed,67,74.0,70
male,group D,some college,free/reduced,none,62,,62
male,group D,associate's degree,free/reduced,completed,61,71.0,73
male,group C,bachelor's degree,free/reduced,completed,70,75.0,74
male,group C,associate's degree,standard,completed,98,,90
male,group D,some college,free/reduced,none,70,63.0,58
male,group A,associate's degree,standard,none,67,57.0,53
female,group E,high school,free/reduced,none,57,58.0,57
male,group D,some college,standard,completed,85,81.0,85
male,group D,some high school,standard,completed,77,68.0,69
male,group C,master's degree,free/reduced,completed,72,66.0,72
female,group D,master's degree,standard,none,78,91.0,96
male,group C,high school,standard,none,81,66.0,64
male,group A,some high school,free/reduced,completed,61,62.0,61
female,group B,high school,standard,none,58,68.0,61
female,group C,associate's degree,standard,none,54,61.0,58
male,group B,high school,standard,none,82,82.0,80
female,group D,some college,free/reduced,none,49,58.0,60
male,group B,some high school,free/reduced,completed,49,50.0,52
female,group E,high school,free/reduced,completed,57,75.0,73
male,group E,high school,standard,none,94,73.0,71
female,group D,some college,standard,completed,75,77.0,83
female,group E,some high school,free/reduced,none,74,74.0,72
male,group C,high school,standard,completed,58,52.0,54
female,group C,some college,standard,none,62,69.0,69
male,group E,associate's degree,standard,none,72,57.0,62
male,group C,some college,standard,none,84,,81
female,group D,master's degree,standard,none,92,100.0,100
female,group D,high school,standard,none,45,63.0,59
male,group C,high school,standard,none,75,,71
female,group A,some college,standard,none,56,58.0,64
female,group D,some high school,free/reduced,none,48,54.0,53
female,group E,associate's degree,standard,none,100,100.0,100
female,group C,some high school,free/reduced,completed,65,76.0,75
male,group D,some college,standard,none,72,57.0,58
female,group D,some college,standard,none,62,70.0,72
male,group A,some high school,standard,completed,66,68.0,64
male,group C,some college,standard,none,63,63.0,60
female,group E,associate's degree,standard,none,68,76.0,67
female,group B,bachelor's degree,standard,none,75,84.0,80
female,group D,bachelor's degree,standard,none,89,100.0,100
male,group C,some high school,standard,completed,78,72.0,69
female,group A,high school,free/reduced,completed,53,50.0,60
female,group D,some college,free/reduced,none,49,65.0,61
female,group A,some college,standard,none,54,63.0,67
female,group C,some college,standard,completed,64,82.0,77
male,group B,some college,free/reduced,completed,60,62.0,60
male,group C,associate's degree,standard,none,62,,58
male,group D,high school,standard,completed,55,41.0,48
female,group C,associate's degree,standard,none,91,,94
female,group B,high school,free/reduced,none,8,24.0,23
male,group D,some high school,standard,none,81,78.0,78
male,group B,some high school,standard,completed,79,85.0,86
female,group A,some college,standard,completed,78,87.0,91
female,group C,some high school,standard,none,74,75.0,82
male,group A,high school,standard,none,57,,54
female,group C,associate's degree,standard,none,40,59.0,51
male,group E,some high school,standard,completed,81,,76
female,group A,some high school,free/reduced,none,44,45.0,45
female,group D,some college,free/reduced,completed,67,86.0,83
male,group E,high school,free/reduced,completed,86,81.0,75
female,group B,some high school,standard,completed,65,82.0,78
female,group D,associate's degree,free/reduced,none,55,,76
female,group D,bachelor's degree,free/reduced,none,62,72.0,74
male,group A,high school,standard,none,63,63.0,62
female,group E,master's degree,standard,completed,88,99.0,95
male,group C,high school,free/reduced,none,62,55.0,55
female,group C,high school,free/reduced,completed,59,71.0,65
female,group D,some college,standard,completed,68,78.0,77
female,group D,some college,free/reduced,none,77,86.0,86
